TYPE,POI_ID,ID,UID,PARK_ID,NAME_CN,NAME_EN,DISTANCE,DURATION,ROUTE_CAPTURED,DESC_CN,DESC_EN
DRIVING,deva_5,100,deva_5100,deva,但丁大道 ,Dantes View Road,,,,,
PHOTO,deva_5,101,deva_5101,deva,但丁大道 ,Dantes View Road,,,,,
DRIVING,deva_1,102,deva_1102,deva,艺术家路,Artists Drive,,,,,
DRIVING,deva_7,103,deva_7103,deva,提图斯峡谷路,Titus Canyon Rd,,,,,
DRIVING,deva_6,104,deva_6104,deva,赛马场路,Racetrack Valley Rd,,,,,
PHOTO,deva_1,105,deva_1105,deva,艺术家路,Artists Drive,,,,,
PHOTO,deva_2,106,deva_2106,deva,魔鬼高尔夫球场,Devil's Golf Course,,,,,
PHOTO,deva_3,107,deva_3107,deva,恶水盆地,Badwater Basin,,,,,
PHOTO,deva_4,108,deva_4108,deva,扎布里斯基角,Zabriskie Point,,,,,
TRAIL,deva_4,109,deva_4109,deva,扎布里斯基角,Zabriskie Point,,,,,
DRIVING,deva_6,110,deva_6110,deva,茶壶,Teakettle Junction,,,,,
PHOTO,deva_8,111,deva_8111,deva,史考特城堡,Scotty's Castle,,,,,
TRAIL,yose_2,112,yose_2112,yose,新娘面纱瀑布小径,Bridalveil Fall Trail,316,351,"(37.716750000000005, -119.65096000000001);(37.71683, -119.65076);(37.717020000000005, -119.65052000000001);(37.71712, -119.65008000000002);(37.717180000000006, -119.64948000000001);(37.71719, -119.64900000000002);(37.717200000000005, -119.64849000000001);(37.717180000000006, -119.64813000000001);(37.717110000000005, -119.64778000000001);(37.71708, -119.64753)",,
TRAIL,yose_1,113,yose_1113,yose,下约塞米蒂瀑布小径 - 东段,Lower Yosemite Fall Trail,772,659,"(37.74595, -119.59269);(37.74611, -119.59279000000001);(37.746230000000004, -119.59264);(37.746430000000004, -119.59263000000001);(37.7466, -119.59266000000001);(37.74683, -119.59287);(37.747020000000006, -119.59295000000002);(37.74727, -119.59295000000002);(37.74757, -119.59288000000001);(37.74783, -119.59278);(37.74804, -119.59264);(37.74837, -119.59256);(37.748450000000005, -119.59263000000001);(37.74855, -119.59288000000001);(37.748760000000004, -119.59303000000001);(37.74895, -119.59308000000001);(37.74915, -119.59318);(37.749390000000005, -119.59334000000001);(37.7496, -119.59334000000001);(37.74965, -119.59327);(37.749900000000004, -119.59319);(37.75012, -119.59322000000002);(37.75025, -119.59342000000001);(37.75034, -119.59367);(37.75048, -119.59398000000002);(37.75052, -119.59427000000001);(37.750460000000004, -119.59451000000001);(37.75036, -119.59455000000001);(37.75019, -119.59464000000001);(37.75012, -119.59478000000001);(37.75016, -119.59495000000001);(37.750260000000004, -119.59513000000001);(37.75021, -119.59533);(37.750150000000005, -119.59555);(37.75011000000001, -119.59569)",,
