name_cn,name_en,gps_coordinate,park_id,description,zoom,score,parking_gps_coordinate,wiki_link,website,category,tags,address,ratings,phone_number
克里村 ,Curry Village,"37.738464, -119.57482700000003",1,,10,5,"37.738464, -119.57482700000003",,,住宿,公园住宿,"9010 Curry Village Dr, Yosemite National Park, CA, United States",3.6,p+1 801-559-4884
优胜美地小屋在瀑布 ,Yosemite Lodge at the Falls,"37.743439, -119.59818000000001",1,,10,5,"37.743439, -119.59818000000001",,http://www.yosemitepark.com/yosemite-lodge.aspx?utm_source=googlemaps&utm_medium=local&utm_campaign=lodgefalls,住宿,公园住宿,"9006 Yosemite Lodge Dr, Yosemite Village, CA, United States",4.1,p+1 801-559-5000
黑莓Inn民宿 ,Blackberry Inn Bed and Breakfast,"37.813283, -120.06671499999999",1,,10,5,"37.813283, -120.06671499999999",,http://www.blackberry-inn.com/,住宿,家庭旅店,"7567 Hamilton Station Loop Rd, Groveland, CA, United States",,p+1 209-962-4663
布里奇波特水库RV公园和滨海 ,Bridgeport Reservoir RV Park and Marina,"38.280622, -119.218525",1,,10,5,"38.280622, -119.218525",,http://bridgeportreservoir.com/,住宿,家庭旅店,"1845 California 182, Bridgeport, CA, United States",,p+1 760-932-7001
舒适的别墅熊 ,Cozy Bear Cottages,"37.648982, -119.72114499999998",1,,10,5,"37.648982, -119.72114499999998",,http://www.cozy-bear.com/,住宿,家庭旅店,"7226 Yosemite Park Way, Yosemite Natl Pk, CA, United States",,p+1 209-372-4054
长荣酒店在优胜美地 ,Evergreen Lodge at Yosemite,"37.875954, -119.85826500000002",1,,10,5,"37.875954, -119.85826500000002",,http://www.evergreenlodge.com/,住宿,家庭旅店,"33160 Evergreen Rd, Groveland, CA, United States",4.2,p+1 209-379-2606
高地屋家庭式酒店 ,Highland House Bed & Breakfast,"37.538826, -119.82925699999998",1,,10,5,"37.538826, -119.82925699999998",,http://www.highlandhouseinn.com/,住宿,家庭旅店,"3125 Wild Dove Ln, Mariposa, CA, United States",,p+1 209-966-3737
Lillaskog酒店期间小屋 ,Lillaskog Lodge,"37.820073, -120.01995",1,,10,5,"37.820073, -120.01995",,http://lillaskogyosemite.com/,住宿,家庭旅店,"27557 Packard Canyon Rd, Groveland, CA, United States",,p+1 209-962-1818
小阿瓦尼酒店 ,Little Ahwahnee Inn,"37.478696, -119.64309100000003",1,,10,5,"37.478696, -119.64309100000003",,http://www.littleahwahneeinn.com/,住宿,家庭旅店,"7610 Forest Dr, Fish Camp, CA, United States",,p+1 559-683-5052
草甸河牧场家庭旅馆客栈 ,Meadow Creek Ranch Bed & Breakfast Inn,"37.462392, -119.79451699999998",1,,10,5,"37.462392, -119.79451699999998",,http://www.meadowcreekranchinn.com/,住宿,家庭旅店,"2669 Triangle Rd, Mariposa, CA, United States",,p+1 209-966-3843
罂粟山含早餐 ,Poppy Hill Bed & Breakfast,"37.535965, -119.95324199999999",1,,10,5,"37.535965, -119.95324199999999",,http://www.poppyhill.com/,住宿,家庭旅店,"5218 Crystal Aire Dr, Mariposa, CA, United States",,p+1 209-742-6273
RE / MAX的优胜美地金 ,RE/MAX Yosemite Gold,"37.838558, -120.23143199999998",1,,10,5,"37.838558, -120.23143199999998",,http://www.yosemitegoldvacations.com/,住宿,家庭旅店,"18688 California 120, Groveland, CA, United States",,p+1 209-962-7180
红色的草甸度假包站 ,Red's Meadow Resort & Pack Station,"37.613013, -119.07473099999999",1,,10,5,"37.613013, -119.07473099999999",,http://www.redsmeadow.com/,住宿,家庭旅店,"1 Reds Cir, Mammoth Lakes, CA, United States",,p+1 760-934-2345
塞拉利昂草甸牧场 ,Sierra Meadows Ranch,"37.631185, -118.96517900000003",1,"Sierra Meadows Ranch is founded on 17 beautiful acres and has been located in Mammoth Lakes for over 40 years. We are the the only place in town that offers short and long term horse boarding in the summer time. Additionally, our cabins are available for year-round vacation rentals, and our facilities are available for events like weddings, retreats, reunions and parties.
We have a beautiful stream running alongside our property and trail heads that lead up to gorgeous nearby lakes. We are also within walking distance of the town and its many popular and delicious restaurants.
Mammoth is a beauty to see though each season; Winter and Spring are a winter wonderland, Summer is covered in wildflowers, and Fall is cool and colorful. Mammoth is a friendly fun place to be with much to do during each season including snowboarding, skiing, golfing, fishing, camping, hiking, backpacking, kayaking, horse back riding, photography, rock climbing, and mountain biking. ",10,5,"37.631185, -118.96517900000003",,http://www.sierrameadowsranch.com/about-us/,住宿,家庭旅店,"1 Sherwin Creek Rd, Mammoth Lakes, CA, United States",,p+1 760-934-6161
内华达山脉度假村 ,Sierra Nevada Resort,"37.643356, -118.96707700000002",1,,10,5,"37.643356, -118.96707700000002",,http://www.thesierranevadaresort.com/,住宿,家庭旅店,"164 Old Mammoth Rd, Mammoth Lakes, CA, United States",3.9,p+1 760-934-2515
红门公寓 ,The Red Door Apartment,"37.646294, -119.720777",1,,10,5,"37.646294, -119.720777",,http://yosemitesunsets.com/,住宿,家庭旅店,"7381 Yosemite Park Way #2, Yosemite National Park, CA, United States",,p+1 831-624-2066
红木在优胜美地 ,The Redwoods In Yosemite,"37.548696, -119.64031499999999",1,,10,5,"37.548696, -119.64031499999999",,http://www.redwoodsinyosemite.com/,住宿,家庭旅店,"8038 Chilnualna Falls Rd, Wawona, CA, United States",4.9,p+1 877-753-8566
锡LIZZIE INN ,TIN LIZZIE INN,"37.475294, -119.63954999999999",1,,10,5,"37.475294, -119.63954999999999",,http://www.tinlizzieinn.com/,住宿,家庭旅店,"7731 Laurel Way, Fish Camp, CA, United States",,p+1 559-641-7731
优胜美地雪松小屋 ,Yosemite Cedar Lodge,"37.660309, -119.85226599999999",1,,10,5,"37.660309, -119.85226599999999",,http://www.stayyosemitecedarlodge.com/,住宿,家庭旅店,"9966 California 140, El Portal, CA, United States",3.2,p+1 209-379-2612
优胜美地住宿在大小河酒店 ,Yosemite Lodging at Big Creek Inn,"37.480215, -119.636709",1,,10,5,"37.480215, -119.636709",,http://www.yosemiteinn.com/,住宿,家庭旅店,"1221 California 41, Fish Camp, CA, United States",,p+1 559-641-2828
优胜美地勤住宿 ,Yosemite Peregrine Lodging,"37.645387, -119.71650399999999",1,,10,5,"37.645387, -119.71650399999999",,http://www.yosemiteperegrine.com/,住宿,家庭旅店,"7509 Henness Cir, Yosemite National Park, CA, United States",,p+1 209-372-8517
优胜美地玫瑰床和早餐 ,Yosemite Rose Bed & Breakfast,"37.845911, -120.13429300000001",1,,10,5,"37.845911, -120.13429300000001",,http://www.yosemiterose.com/,住宿,家庭旅店,"22830 Ferretti Rd, Groveland, CA, United States",,p+1 209-962-6548
优胜美地步道包站 ,Yosemite Trails Pack Station,"37.472966, -119.63623899999999",1,,10,5,"37.472966, -119.63623899999999",,http://www.yosemitetrails.com/,住宿,家庭旅店,"7910 Jackson Rd, Fish Camp, CA, United States",,p+1 559-683-7611
优胜美地全景小屋 ,Yosemite View Lodge,"37.678227, -119.76506599999999",1,,10,5,"37.678227, -119.76506599999999",,http://www.stayyosemiteviewlodge.com/,住宿,家庭旅店,"11136 California 140, El Portal, CA, United States",4,p+1 209-379-2681
西优胜美地别墅 ,Yosemite West Cottages,"37.651561, -119.72270000000003",1,,10,5,"37.651561, -119.72270000000003",,http://www.yosemitewestreservations.com/,住宿,家庭旅店,"7288 Yosemite Park Way, Yosemite Natl Pk, CA, United States",,p+1 209-372-4567
优胜美地西高塞拉利昂民宿 ,Yosemite West High Sierra Bed and Breakfast,"37.647353, -119.718186",1,,10,5,"37.647353, -119.718186",,http://www.yosemitehighsierra.com/,住宿,家庭旅店,"7460 Henness Ridge Rd, Yosemite Natl Pk, CA, United States",,p+1 209-372-4808
优胜美地的四季度假租赁房 ,Yosemite's Four Seasons Vacation Rental,"37.645825, -119.715465",1,,10,5,"37.645825, -119.715465",,http://yosemitelodging.com/four.seasons.html,住宿,家庭旅店,"7519 Henness Cir, Yosemite National Park, CA, United States",3,p+1 209-372-9000
优胜美地的风景奇观度假租赁房 ,Yosemite's Scenic Wonders Vacation Rentals,"37.645198, -119.721612",1,,10,5,"37.645198, -119.721612",,http://www.scenicwonders.com/,住宿,家庭旅店,"7403 Yosemite Park Way, Yosemite National Park, CA, United States",4.5,p+1 888-967-3648
Yosemites风景奇观,Yosemites Scenic Wonders,"37.64517, -119.72160200000002",1,,10,5,"37.64517, -119.72160200000002",,http://www.scenicwonders.com/,住宿,家庭旅店,"7403 Yosemite Park Way, Yosemite National Park, CA, United States",4.7,p+1 209-372-4243
双湖度假村 ,Twin Lakes Resort,"38.172278, -119.33182999999997",1,,10,5,"38.172278, -119.33182999999997",,http://www.twinlakeresort.com/,住宿,度假村,"10316 Twin Lakes Rd, Bridgeport, CA, United States",,p+1 760-932-7751
弗吉尼亚溪结算 ,Virginia Creek Settlement,"38.187104, -119.20405099999999",1,"The Virginia Creek Settlement is nestled in the natural beauty of the eastern slopes of the High Sierra within easy driving distance to Bodie Ghost Town, Mono Lake, Tioga Pass, Yosemite National Park, June Lake and Mammoth Lakes. Stop by on your way to Carson City, Virginia City, Reno, and Lake Tahoe. The resort is centrally located to some of the best fishing in the eastern slopes of the High Sierra. Fishing season is the last saturday in April through mid-November.",10,5,"38.187104, -119.20405099999999",,http://www.virginiacreeksettlement.com/,住宿,度假村,"70847 U.S. 395, Bridgeport, CA, United States",4,p+1 760-932-7780
弗吉尼亚湖度假村 ,Virginia Lakes Resort,"38.048563, -119.25875000000002",1,,10,5,"38.048563, -119.25875000000002",,http://www.virginialakesresort.com/,住宿,度假村,"HC 62 Box 1065, Bridgeport, CA, United States",3.4,p+1 760-647-6484
